dwt,8kn,9kn,10kn,11kn,12kn,13kn,14kn
30000,1275.601429,1672.522629,2155.386537,2765.593278,3541.109301,4536.523924,5819.736327
50000,1641.977435,2159.644368,2774.650892,3542.411754,4535.388078,5834.705919,7516.668918
70000,1728.714723,2278.119204,2930.899438,3703.992531,4667.411179,5871.712022,7417.723141
90000,2179.309174,2878.510281,3710.78781,4684.828687,5895.609411,7437.098266,9472.594622
